dump line| message    | work id  | digitised b numbers            | Sierra system b numbers
  224412 |            | j65yy8fj | b29201883                      | b29201883
  224452 |            | brg6rwwz | b2232222x                      | b2232222x
  224480 |            | nz6zj7ux | b21447743                      | b21447743
  224494 |            | t9nqv779 | b29809174                      | b12707971,b29809174
  224529 |            | gmtmfxzx | b21702202                      | b21702202
  224571 |            | zegshxck | b18246746                      | b18246746
  224597 |            | q4h6ebp5 | b30081245                      | b30081245
  224620 |            | aapykqft | b20399807                      | b10881220,b20399807
  224652 |            | j7jv2hvx | b21294756                      | b21294756
  224678 |            | qj32hgj2 | b29089190                      | b29089190
  224704 |            | yyxwvqtu | b29817663                      | b10295975,b29817663
  224735 |            | te8g7rv4 | b30573749                      | b15162874,b30573749
  224750 |            | kgs9zrc4 | b28764985                      | b11130751,b28764985
  224773 |            | wdf92jce | b21044582                      | b21044582
  224819 |            | ajq54ywn | b30365508                      | b11130040,b30365508
  224854 |            | egmspyq6 | b31477823                      | b31477823
  224882 |            | q3wfstak | b2915313x                      | b2915313x
  224925 |            | s2853nna | b31490530                      | b31490530
  224961 |            | uemb794v | b16756800                      | b16756800
  224995 |            | tt9zqhs6 | b29408751                      | b29408751
  225034 |            | c77jp7ka | b22269095                      | b22269095
  225066 |            | js8tdjhm | b30067005                      | b30067005
  225100 |            | mpjqvmkw | b30417673                      | b14993259,b30417673
  225122 |            | gvucnpkv | b29794754                      | b29794754
  225150 |            | t7yzx8x9 | b29533624                      | b29533624
  225206 |            | rwjhu2gp | b22389945                      | b22389945
  225246 |            | xrdue66g | b29156798                      | b29156798
  225284 |            | p69eyqmd | b22448202                      | b22448202
  225344 |            | rc9raa7y | b29539432                      | b29539432
  225381 |            | tnxader4 | b28038496                      | b28038496
  225412 |            | ehasj7vu | b28716103                      | b28478769,b28716103
  225442 |            | dejg65m3 | b21290362                      | b21290362
  225480 |            | d22tumhv | b29923566                      | b29923566
  225521 |            | hd9rb29v | b29099845                      | b29099845
  225555 |            | esh62yrp | b28918228                      | b28918228
  225604 |            | kjmq9zmq | b2234780x                      | b2234780x
  225646 |            | skuqw9f9 | b21930120                      | b21930120
  225677 |            | mbsczj6t | b28798119                      | b28798119
  225729 |            | fbanfsf9 | b21512206                      | b21512206
  225783 |            | e2e5nhz4 | b3014470x                      | b3014470x
  225822 |            | mubyaasu | b29292037                      | b10323521,b29292037
  225870 |            | jvwgxr49 | b28687139                      | b28687139
  225904 |            | svnrqb5e | b28846874                      | b28846874
  225930 |            | k97rwvqy | b30604680                      | b15001404,b30604680
  225967 |            | fwn9w5mt | b29418367                      | b29418367
  226008 |            | p5eyhh4a | b28756605                      | b10299002,b28756605
  226039 |            | pdnrm7up | b22424246                      | b22424246
  226091 |            | m7bgsgw4 | b29782302                      | b29782302
  226130 |            | v2j9p2t4 | b29913299                      | b29913299
  226167 |            | gbr8zmd8 | b21364370                      | b21364370
  226216 |            | vxmkgphy | b28136263                      | b13157188,b28136263
  226254 |            | rkafb7wg | b28135155                      | b13131126,b28135155
